0,1,2,3,4,5,6,7,8,9,10
processed cheese,chocolate,chocolate,yogurt,,,,,,,
other vegetables,rolls/buns,,,,,,,,,
chicken,tropical fruit,whipped/sour cream,,,,,,,,
bottled water,newspapers,,,,,,,,,
hard cheese,margarine,rolls/buns,,,,,,,,
whole milk,whole milk,sausage,newspapers,soda,flour,bottled water,liquor,,,
citrus fruit,ham,red/blush wine,rolls/buns,specialty chocolate,,,,,,
whole milk,sauces,,,,,,,,,
liquor,UHT-milk,,,,,,,,,
citrus fruit,pot plants,,,,,,,,,
whole milk,other vegetables,,,,,,,,,
tropical fruit,other vegetables,,,,,,,,,
canned beer,citrus fruit,,,,,,,,,
bottled beer,whole milk,tropical fruit,whole milk,house keeping products,,,,,,
other vegetables,sausage,,,,,,,,,
misc. beverages,soft cheese,,,,,,,,,
whole milk,coffee,bottled beer,,,,,,,,
soda,soda,,,,,,,,,
newspapers,specialty vegetables,,,,,,,,,
frankfurter,sliced cheese,,,,,,,,,
UHT-milk,specialty vegetables,,,,,,,,,
yogurt,pasta,,,,,,,,,
bottled water,whole milk,,,,,,,,,
meat,whole milk,brown bread,shopping bags,waffles,,,,,,
long life bakery product,rum,,,,,,,,,
root vegetables,frankfurter,frankfurter,fruit/vegetable juice,bottled water,rolls/buns,detergent,bottled beer,male cosmetics,,
beef,ice cream,dish cleaner,,,,,,,,
other vegetables,pip fruit,dessert,red/blush wine,,,,,,,
soda,sugar,,,,,,,,,
yogurt,curd,,,,,,,,,
frankfurter,rolls/buns,,,,,,,,,
sauces,herbs,,,,,,,,,
chicken,rolls/buns,,,,,,,,,
root vegetables,fruit/vegetable juice,,,,,,,,,
domestic eggs,domestic eggs,,,,,,,,,
fruit/vegetable juice,newspapers,,,,,,,,,
rolls/buns,whipped/sour cream,bottled beer,,,,,,,,
sausage,other vegetables,waffles,,,,,,,,
whole milk,onions,pickled vegetables,,,,,,,,
hygiene articles,margarine,,,,,,,,,
pork,ham,specialty chocolate,whole milk,long life bakery product,detergent,,,,,
beef,cat food,,,,,,,,,
coffee,canned fish,,,,,,,,,
citrus fruit,rolls/buns,,,,,,,,,
white bread,frozen fruits,,,,,,,,,
pork,light bulbs,waffles,,,,,,,,
UHT-milk,curd,chocolate,,,,,,,,
root vegetables,citrus fruit,bottled water,Instant food products,butter milk,mayonnaise,,,,,
yogurt,napkins,,,,,,,,,
other vegetables,whole milk,,,,,,,,,
pork,long life bakery product,,,,,,,,,
chicken,fruit/vegetable juice,,,,,,,,,
yogurt,root vegetables,candles,,,,,,,,
whole milk,specialty bar,newspapers,,,,,,,,
packaged fruit/vegetables,sweet spreads,,,,,,,,,
pip fruit,napkins,cat food,,,,,,,,
tropical fruit,whole milk,,,,,,,,,
organic sausage,frozen meals,sugar,,,,,,,,
yogurt,shopping bags,,,,,,,,,
hard cheese,sugar,,,,,,,,,
dessert,semi-finished bread,,,,,,,,,
ham,canned beer,salty snack,,,,,,,,
oil,shopping bags,,,,,,,,,
canned beer,whole milk,,,,,,,,,
tropical fruit,whipped/sour cream,,,,,,,,,
frankfurter,pork,,,,,,,,,
curd,domestic eggs,,,,,,,,,
pip fruit,processed cheese,canned beer,,,,,,,,
yogurt,butter milk,,,,,,,,,
citrus fruit,cake bar,,,,,,,,,
root vegetables,dessert,whisky,,,,,,,,
packaged fruit/vegetables,whole milk,photo/film,oil,,,,,,,
sausage,soda,,,,,,,,,
root vegetables,beverages,,,,,,,,,
rolls/buns,processed cheese,,,,,,,,,
butter milk,red/blush wine,,,,,,,,,
whole milk,whole milk,,,,,,,,,
